uuid|guid|name|globalID
4258d946-8f37-43ac-90c2-ab29814daaeb|211e77f3-b6c8-4dea-b8ee-92b13439f895|Контейнер, галлон|GL
43c6ad00-832f-42c6-8e2a-fe2273814b66|ae7cb033-e5a0-46c3-8173-c12f1e868e24|Комбинированная упаковка: пластмассовый сосуд в ящике решетчатом (или обрешетке) из стали|YB
4770cd27-c22b-4da6-bba5-c69dcd601b74|7c83a5f7-6d4f-4130-9f7c-86bc35c26f45|Клеть, роликовая|CW
491e8863-7850-4b06-8abc-52c09dd05d0d|f9f1091c-7980-4905-9a4e-4238c6830e8d|Балка в пакете/пачке/связке|GZ
497050a3-b994-4ba4-badd-8b7fd98426ac|e96d6d80-345c-4f8a-a02d-fe5da4efe1ad|Корзина с ручкой из древесины|HB
49e8e70e-e539-4ce1-8d20-5a49ae276f77|c54dcb58-3197-4400-8ab1-13d4da58bcd4|Баллон, незащищенный|BF
4a7ea673-c3ac-40b5-836f-cfdd066b8020|20200df8-afa0-4442-bcc3-3a2974ab03b7|Горшок|PT
4ad07608-39ee-4991-baac-9cd2bdb5b2b0|4565f1c2-3240-4508-b1da-995a7e42e0c0|Ящик с поддоном металлический|EH
4b2de153-2c3e-499e-91f8-a7ce1926157a|b7e8a823-312d-4050-8f6b-68772f9cc4b0|Плиты в пакете/пачке/связке|PY
4b3478b2-bd43-4fe1-85bd-77a457a1cd72|91a25b6d-fac1-4e9a-b7d7-f03466dd635a|Катушка|RL
4be2b716-28a4-4d33-8d3e-266ce1e34942|2d1c83f0-3067-4056-857d-4babf6663d91|Корзина с крышкой|HR
4d5772a0-9fa4-47ab-8c32-9a07729740ad|715b627a-bb3c-4178-896d-72b59367ae8a|Доска, толстая|PN
4d9bd778-5ce4-411c-8d78-a1959ac55590|ff1553fa-d152-4c39-b5d8-3b39d3baca83|Канистра пластмассовая с несъемным днищем|QM
